STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,METHODOLOGY,Methodology,MEASURE,Measure,UNIT_MEASURE,Unit of measure,EXPENDITURE,Expenditure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DURABILITY,Durability,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,POL,Poland,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2022-05,,13.9,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,POL,Poland,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2022-06,,15.5,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,POL,Poland,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2020-03,,4.6,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,POL,Poland,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2020-04,,3.4,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,POL,Poland,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2020-05,,2.9,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,POL,Poland,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2020-06,,3.3,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,POL,Poland,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2020-07,,3,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,POL,Poland,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-11,,4.7,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,POL,Poland,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2020-11,,3,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,POL,Poland,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2020-12,,2.4,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,POL,Poland,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2021-01,,2.6,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,POL,Poland,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2021-02,,2.4,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,POL,Poland,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2021-03,,3.2,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,POL,Poland,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2021-04,,4.3,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,POL,Poland,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2021-05,,4.7,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,POL,Poland,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2021-06,,4.4,,A,Normal value,,,,,,,2,Two
